,8,1,2,3,4,5,6,7,8,-,Y,M,
"[6.0, ""['X', 'O', 'O', '-', 'O', 'X', 'X', '-', '-']"", '7', 'X', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[7.0, ""['X', 'O', 'O', '-', 'O', 'X', 'X', 'X', '-']"", '8', 'O', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[8.0, ""['X', 'O', 'O', '-', 'O', 'X', 'X', 'X', 'O']"", '3', 'X', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '7', 'X', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', '-', '-', '-', '-', '-', '-', 'X', '-']"", '3', 'O', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', '-', 'O', '-', '-', '-', 'X', '-']"", '1', 'X', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['-', 'X', '-', 'O', '-', '-', '-', 'X', '-']"", '0', 'O', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['O', 'X', '-', 'O', '-', '-', '-', 'X', '-']"", '2', 'X', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['O', 'X', 'X', 'O', '-', '-', '-', 'X', '-']"", '5', 'O', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['O', 'X', 'X', 'O', '-', 'O', '-', 'X', '-']"", '8', 'X', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[7.0, ""['O', 'X', 'X', 'O', '-', 'O', '-', 'X', 'X']"", '4', 'O', 'in progress', '2023-12-11 15:57:10.233027', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '2', 'X', 'in progress', '2023-12-11 15:57:10.248812', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', '-', 'X', '-', '-', '-', '-', '-', '-']"", '4', 'O', 'in progress', '2023-12-11 15:57:10.248812', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', 'X', '-', 'O', '-', '-', '-', '-']"", '0', 'X', 'in progress', '2023-12-11 15:57:10.248812', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['X', '-', 'X', '-', 'O', '-', '-', '-', '-']"", '7', 'O', 'in progress', '2023-12-11 15:57:10.248812', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['X', '-', 'X', '-', 'O', '-', '-', 'O', '-']"", '3', 'X', 'in progress', '2023-12-11 15:57:10.248812', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['X', '-', 'X', 'X', 'O', '-', '-', 'O', '-']"", '5', 'O', 'in progress', '2023-12-11 15:57:10.248812', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['X', '-', 'X', 'X', 'O', 'O', '-', 'O', '-']"", '1', 'X', 'in progress', '2023-12-11 15:57:10.248812', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '8', 'X', 'in progress', '2023-12-11 15:57:10.264292', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', '-', '-', '-', '-', '-', '-', '-', 'X']"", '4', 'O', 'in progress', '2023-12-11 15:57:10.264292', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', '-', '-', 'O', '-', '-', '-', 'X']"", '3', 'X', 'in progress', '2023-12-11 15:57:10.264292', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['-', '-', '-', 'X', 'O', '-', '-', '-', 'X']"", '7', 'O', 'in progress', '2023-12-11 15:57:10.264292', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['-', '-', '-', 'X', 'O', '-', '-', 'O', 'X']"", '5', 'X', 'in progress', '2023-12-11 15:57:10.264292', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['-', '-', '-', 'X', 'O', 'X', '-', 'O', 'X']"", '0', 'O', 'in progress', '2023-12-11 15:57:10.264292', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['O', '-', '-', 'X', 'O', 'X', '-', 'O', 'X']"", '2', 'X', 'in progress', '2023-12-11 15:57:10.264292', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '0', 'X', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['X', '-', '-', '-', '-', '-', '-', '-', '-']"", '2', 'O', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['X', '-', 'O', '-', '-', '-', '-', '-', '-']"", '1', 'X', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['X', 'X', 'O', '-', '-', '-', '-', '-', '-']"", '6', 'O', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['X', 'X', 'O', '-', '-', '-', 'O', '-', '-']"", '7', 'X', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['X', 'X', 'O', '-', '-', '-', 'O', 'X', '-']"", '8', 'O', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['X', 'X', 'O', '-', '-', '-', 'O', 'X', 'O']"", '3', 'X', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[7.0, ""['X', 'X', 'O', 'X', '-', '-', 'O', 'X', 'O']"", '4', 'O', 'in progress', '2023-12-11 15:57:10.279939', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '3', 'X', 'in progress', '2023-12-11 15:57:10.311208', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', '-', '-', 'X', '-', '-', '-', '-', '-']"", '7', 'O', 'in progress', '2023-12-11 15:57:10.311208', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', '-', 'X', '-', '-', '-', 'O', '-']"", '8', 'X', 'in progress', '2023-12-11 15:57:10.311208', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['-', '-', '-', 'X', '-', '-', '-', 'O', 'X']"", '2', 'O', 'in progress', '2023-12-11 15:57:10.311208', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['-', '-', 'O', 'X', '-', '-', '-', 'O', 'X']"", '0', 'X', 'in progress', '2023-12-11 15:57:10.311208', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['X', '-', 'O', 'X', '-', '-', '-', 'O', 'X']"", '6', 'O', 'in progress', '2023-12-11 15:57:10.311208', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['X', '-', 'O', 'X', '-', '-', 'O', 'O', 'X']"", '4', 'X', 'in progress', '2023-12-11 15:57:10.311208', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '3', 'X', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', '-', '-', 'X', '-', '-', '-', '-', '-']"", '6', 'O', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', '-', 'X', '-', '-', 'O', '-', '-']"", '8', 'X', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['-', '-', '-', 'X', '-', '-', 'O', '-', 'X']"", '4', 'O', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['-', '-', '-', 'X', 'O', '-', 'O', '-', 'X']"", '0', 'X', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['X', '-', '-', 'X', 'O', '-', 'O', '-', 'X']"", '5', 'O', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['X', '-', '-', 'X', 'O', 'O', 'O', '-', 'X']"", '1', 'X', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[7.0, ""['X', 'X', '-', 'X', 'O', 'O', 'O', '-', 'X']"", '2', 'O', 'in progress', '2023-12-11 15:57:10.326881', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
